postcode,lat,lng,alt
NN13 6GD,-1.148745,52.042274,0
NN13 6HS,-1.157497,52.03204,0
NN13 6JA,-1.162276,52.032191,0
NN13 6JQ,-1.153655,52.031707,0
NN13 6NH,-1.156099,52.034296,0
NN13 6NH,-1.156099,52.034296,0
NN13 6NH,-1.156099,52.034296,0
NN13 6PN,-1.1544,52.043257,0
NN13 6PT,-1.153839,52.041266,0
NN13 6QA,-1.149171,52.02913,0
NN13 7BZ,-1.13853,52.031409,0
NN13 7DA,-1.143131,52.030921,0
NN13 7DA,-1.143131,52.030921,0
NN13 7NL,-1.138338,52.030041,0
NN14 1AG,-0.686917,52.440501,0
NN14 1AL,-0.694674,52.434913,0
NN14 1AT,-0.690799,52.436597,0
NN14 1BS,-0.681882,52.441128,0
NN14 1DT,-0.654559,52.471146,0
NN14 1EE,-0.776331,52.355631,0
NN14 1GP,-0.817552,52.372562,0
NN14 1GW,-0.816218,52.376315,0
NN14 1GY,-0.811915,52.375697,0
NN14 1NP,-0.778382,52.36916,0
NN14 1NP,-0.778382,52.36916,0
NN14 1ST,-0.815454,52.373556,0
NN14 1ST,-0.815454,52.373556,0
NN14 1SZ,-0.817788,52.374173,0
NN14 1TG,-0.807271,52.376342,0
NN14 1TR,-0.811034,52.378978,0
NN14 2GL,-0.811782,52.444149,0
NN14 2GN,-0.812865,52.444349,0
NN14 2GP,-0.815917,52.449037,0
NN14 2JE,-0.821417,52.445855,0
NN14 2JG,-0.821121,52.447039,0
NN14 2JJ,-0.819529,52.447679,0
NN14 2JZ,-0.832409,52.443051,0
NN14 2LU,-0.818724,52.442574,0
NN14 2LU,-0.818724,52.442574,0
NN14 2LU,-0.818724,52.442574,0
NN14 2LZ,-0.818821,52.440615,0
NN14 2PW,-0.812067,52.440655,0
NN14 2RD,-0.816137,52.443033,0
NN14 2UZ,-0.834309,52.444616,0
NN14 2XG,-0.835664,52.444036,0
NN14 3AE,-0.62448,52.415444,0
NN14 3DA,-0.496208,52.405836,0
NN14 3DJ,-0.498306,52.40553,0
NN14 3DZ,-0.442364,52.411907,0
NN14 4BL,-0.591669,52.362561,0
NN14 4BY,-0.547443,52.365433,0
NN14 4DF,-0.547254,52.367175,0
NN14 4EB,-0.538678,52.392927,0
NN14 4EB,-0.538678,52.392927,0
NN14 4ED,-0.545851,52.378594,0
NN14 4EN,-0.511906,52.380131,0
NN14 4FD,-0.543317,52.397551,0
NN14 4FD,-0.543317,52.397551,0
NN14 4FD,-0.543317,52.397551,0
NN14 4FJ,-0.544191,52.397805,0
NN14 4FP,-0.543649,52.398643,0
NN14 4HH,-0.585745,52.384814,0
NN14 4HQ,-0.582148,52.384286,0
NN14 4JR,-0.540792,52.394338,0
NN14 4JS,-0.540221,52.394256,0
NN14 4JX,-0.538431,52.395034,0
NN14 4NQ,-0.532523,52.395961,0
NN14 4NZ,-0.533245,52.397661,0
NN14 4PG,-0.52661,52.399628,0
NN14 4PJ,-0.54176,52.394412,0
NN14 4PY,-0.535292,52.39222,0
NN14 4RG,-0.52704,52.39334,0
NN14 4RP,-0.536547,52.394258,0
NN14 4RQ,-0.537458,52.393388,0
NN14 4RS,-0.535683,52.390145,0
NN14 4RS,-0.535683,52.390145,0
NN14 4RW,-0.537524,52.390042,0
NN14 4TG,-0.531207,52.40151,0
NN14 4TP,-0.534684,52.400376,0
NN14 4UH,-0.533539,52.393681,0
NN14 4UH,-0.533539,52.393681,0
NN14 4US,-0.524064,52.395739,0
NN14 4UY,-0.526476,52.396578,0
NN14 4XA,-0.532873,52.392046,0
NN14 4XD,-0.522768,52.397584,0
NN14 4XF,-0.53136,52.392917,0
NN14 4XP,-0.522899,52.398952,0
NN14 4XP,-0.522899,52.398952,0
NN14 4XQ,-0.521514,52.399942,0
NN14 6AN,-0.804642,52.4209,0
NN14 6AS,-0.812018,52.420579,0
NN14 6BS,-0.794641,52.42203,0
NN14 6BW,-0.799696,52.422753,0
NN14 6DE,-0.793819,52.422525,0
NN14 6DR,-0.791253,52.422256,0
NN14 6DU,-0.792491,52.42431,0
NN14 6FH,-0.810784,52.417797,0
NN14 6JH,-0.807574,52.42395,0
NN14 6JL,-0.805434,52.422077,0
NN14 6JP,-0.80308,52.420489,0
NN14 6JP,-0.80308,52.420489,0
NN14 6LF,-0.804536,52.422661,0
NN14 6TU,-0.785649,52.423359,0
NN14 6TU,-0.785649,52.423359,0
NN14 6TU,-0.785649,52.423359,0
NN15 5AT,-0.69729,52.390591,0
NN15 5BE,-0.703134,52.393748,0
NN15 5BH,-0.70259,52.389733,0
NN15 5BW,-0.703657,52.390958,0
NN15 5DN,-0.700046,52.392294,0
NN15 5EJ,-0.686306,52.395262,0
NN15 5EP,-0.700247,52.389482,0
NN15 5ER,-0.69864,52.38915,0
NN15 5ET,-0.68859,52.389596,0
NN15 5FB,-0.700158,52.3935,0
NN15 5FF,-0.681196,52.365518,0
NN15 5FU,-0.669468,52.3589,0
NN15 5GJ,-0.676881,52.358984,0
NN15 5GL,-0.676627,52.358661,0
NN15 5GN,-0.677792,52.359006,0
NN15 5GN,-0.677792,52.359006,0
NN15 5HP,-0.689874,52.393386,0
NN15 5JB,-0.6961,52.392556,0
NN15 5JG,-0.693713,52.390777,0
NN15 5JG,-0.693713,52.390777,0
NN15 5LB,-0.678146,52.364338,0
NN15 5PB,-0.682468,52.365721,0
NN15 5PF,-0.685349,52.36711,0
NN15 5QD,-0.684336,52.356684,0
NN15 5QY,-0.685823,52.36253,0
NN15 5RE,-0.685795,52.359015,0
NN15 5SG,-0.680243,52.36295,0
NN15 5SG,-0.680243,52.36295,0
NN15 5SN,-0.679957,52.361746,0
NN15 5SX,-0.68668,52.361371,0
NN15 5TS,-0.670012,52.370166,0
NN15 5UA,-0.691123,52.38743,0
NN15 5UB,-0.689936,52.387309,0
NN15 5UF,-0.691403,52.388396,0
NN15 5WJ,-0.674507,52.358844,0
NN15 5XB,-0.673031,52.36058,0
NN15 5YF,-0.67537,52.368312,0
NN15 5YG,-0.675897,52.367886,0
NN15 5YL,-0.674515,52.362512,0
NN15 6BX,-0.725027,52.390345,0
NN15 6DF,-0.726517,52.39269,0
NN15 6DY,-0.717775,52.38855,0
NN15 6EH,-0.720259,52.389035,0
NN15 6FA,-0.687951,52.375456,0
NN15 6FA,-0.687951,52.375456,0
NN15 6FH,-0.700086,52.379408,0
NN15 6FY,-0.740417,52.387597,0
NN15 6GE,-0.695113,52.387151,0
NN15 6GE,-0.695113,52.387151,0
NN15 6GY,-0.732331,52.386198,0
NN15 6GY,-0.732331,52.386198,0
NN15 6HE,-0.716347,52.387141,0
NN15 6HY,-0.724086,52.384221,0
NN15 6JL,-0.72014,52.383487,0
NN15 6LN,-0.715961,52.382695,0
NN15 6NG,-0.719694,52.391816,0
NN15 6QE,-0.70877,52.389971,0
NN15 6QQ,-0.687723,52.37771,0
NN15 6QX,-0.689975,52.377573,0
NN15 6RA,-0.690838,52.380172,0
NN15 6RG,-0.692531,52.379067,0
NN15 6RS,-0.691956,52.386586,0
NN15 6TA,-0.693838,52.37508,0
NN15 6TG,-0.693383,52.378564,0
NN15 6TX,-0.690139,52.376469,0
NN15 6UA,-0.69866,52.381481,0
NN15 6UF,-0.697173,52.375585,0
NN15 7DS,-0.707668,52.394481,0
NN15 7EN,-0.737085,52.391068,0
