Postcode,Latitude,Longitude,Terminated,Population,Households,Built Up Area
NN8 5AU,52.307253,-0.700309,,36,16,Wellingborough
NN8 5AW,52.307545,-0.703087,,22,12,Wellingborough
NN8 5AX,52.307791,-0.700161,,21,15,Wellingborough
NN8 5AY,52.30926,-0.698857,,89,34,Wellingborough
NN8 5AZ,52.308654,-0.701793,,33,13,Wellingborough
NN8 5BA,52.308574,-0.700226,,46,23,Wellingborough
NN8 5BB,52.309103,-0.700064,,5,3,Wellingborough
NN8 5BD,52.309711,-0.700633,,26,7,Wellingborough
NN8 5BE,52.308306,-0.697946,,44,23,Wellingborough
NN8 5BG,52.308182,-0.699739,,15,7,Wellingborough
NN8 5BH,52.307267,-0.699062,,17,9,Wellingborough
NN8 5BJ,52.30645,-0.699567,,16,7,Wellingborough
NN8 5BL,52.313151,-0.701882,,4,1,Wellingborough
NN8 5BP,52.304076,-0.703277,,99,48,Wellingborough
NN8 5BQ,52.307471,-0.699687,,28,16,Wellingborough
NN8 5BT,52.307536,-0.708837,,41,21,Wellingborough
NN8 5BU,52.308732,-0.708025,,49,23,Wellingborough
NN8 5BX,52.308578,-0.711257,,174,64,Wellingborough
NN8 5BY,52.30915,-0.713396,,86,34,Wellingborough
NN8 5BZ,52.308619,-0.71416,,82,31,Wellingborough
NN8 5ER,52.309687,-0.714011,,50,20,Wellingborough
NN8 5ES,52.309854,-0.712804,,43,20,Wellingborough
NN8 5ET,52.309127,-0.711314,,90,42,Wellingborough
NN8 5EU,52.310861,-0.712877,,127,53,Wellingborough
NN8 5EX,52.30579,-0.707011,,20,7,Wellingborough
NN8 5EY,52.309879,-0.707742,,83,35,Wellingborough
NN8 5EZ,52.310654,-0.708659,,139,69,Wellingborough
NN8 5FB,52.316209,-0.721011,,236,94,Wellingborough
NN8 5FD,52.31578,-0.721214,,90,36,Wellingborough
NN8 5FE,52.316322,-0.718983,,18,7,Wellingborough
NN8 5FH,52.316162,-0.710053,,170,55,Wellingborough
NN8 5FJ,52.316384,-0.713098,,90,25,Wellingborough
NN8 5FL,52.317034,-0.70837,,138,51,Wellingborough
NN8 5NW,52.315269,-0.717224,,64,19,Wellingborough
NN8 5NX,52.314569,-0.716525,,36,14,Wellingborough
NN8 5NY,52.314082,-0.720486,,162,60,Wellingborough
NN8 5NZ,52.314996,-0.71776,,25,10,Wellingborough
NN8 5PB,52.31409,-0.717947,,21,7,Wellingborough
NN8 5PD,52.313909,-0.716192,,34,14,Wellingborough
NN8 5PE,52.313259,-0.717605,,143,49,Wellingborough
NN8 5PG,52.313732,-0.718941,,82,29,Wellingborough
NN8 5PH,52.313702,-0.720232,,24,9,Wellingborough
